id,fresh,rotten,% Positive,year,rating,genre,director,theater_date,dvd_date,box_office,runtime,studio
1337,59,84,41.26,2003,PG-13,Comedy|Drama,Paul Weitz,2006,2006,"7,156,725",108 minutes,Universal Pictures
1338,9,12,42.86,2003,R,Art House and International|Comedy,Wayne Wang|Paul Auster,1995,2003,,89 minutes,
1339,39,56,41.05,2003,PG,Comedy|Romance,Eleanor Coppola,2017,2017,"5,617,321",92 minutes,Sony Pictures Classics
1340,14,84,14.29,2003,PG-13,Comedy|Drama|Mystery and Suspense,Brian Robbins,2004,2004,"10,279,192",92 minutes,Paramount Pictures
1341,19,56,25.33,2003,PG,Action and Adventure|Comedy|Kids and Family,Brian Levant,2002,2002,"81,110,575",99 minutes,Buena Vista Distribution Compa
1344,12,0,100.0,2003,NR,Classics|Drama,Fred Zinnemann,1959,2006,,149 minutes,
1346,16,3,84.21,2003,G,Classics|Drama|Mystery and Suspense,John Frankenheimer,1962,2001,,143 minutes,
1347,1,3,25.0,2003,NR,Comedy|Drama|Romance,Clara Law,2000,2007,,118 minutes,
1349,2,1,66.67,2003,NR,Comedy|Drama,Dave McLaughlin,2008,2010,,102 minutes,FilmBuff
1353,5,0,100.0,2003,NR,Classics|Comedy,,,,,97 minutes,
1354,2,0,100.0,2003,PG,Action and Adventure|Comedy|Drama|Kids and Family,John Roberts,1995,1996,,94 minutes,
1355,2,0,100.0,2003,NR,Art House and International|Mystery and Suspense,Ching Wan Lau|Leung Siu Hung|Patrick Yau,1998,1999,,85 minutes,
1358,32,4,88.89,2003,G,Classics|Comedy|Drama|Romance,John Ford,1952,2001,,129 minutes,
1359,3,0,100.0,2003,NR,Classics|Comedy|Musical and Performing Arts|Romance,Norman Taurog|Busby Berkeley,1943,2007,,99 minutes,
1362,40,54,42.55,2003,PG-13,Drama,Mike Binder,2015,2015,"15,504,419",90 minutes,
1363,9,8,52.94,2003,R,Comedy|Mystery and Suspense,Frank Perry,,,,99 minutes,
1365,15,9,62.5,2003,R,Art House and International|Horror,Ken Russell,1988,1999,,93 minutes,
1366,45,12,78.95,2003,R,Action and Adventure|Comedy|Drama|Mystery and Suspense,Guy Ritchie,1999,1999,,105 minutes,
1368,34,61,35.79,2003,R,Action and Adventure|Drama|Mystery and Suspense,William Friedkin,2000,2000,,127 minutes,Paramount Pictures
1375,4,2,66.67,2003,PG,Classics|Comedy|Drama,Jack Lemmon,1971,2004,,113 minutes,
1376,17,128,11.72,2003,PG-13,Comedy,Peter Billingsley,2009,2010,"109,176,215",107 minutes,Universal Pictures
1377,3,2,60.0,2003,NR,Action and Adventure|Drama,Howard Hawks,1965,1991,,110 minutes,
1378,17,6,73.91,2003,PG,Comedy|Drama,Diane Keaton,1995,2003,,94 minutes,
1380,2,1,66.67,2003,NR,Art House and International|Drama|Special Interest,Michael Haneke,1994,2006,,96 minutes,
1381,190,20,90.48,2003,R,Comedy|Romance,Judd Apatow,2007,2007,"148,734,225",129 minutes,Universal
1382,1,5,16.67,2003,R,Horror|Mystery and Suspense,Albert Band,1981,2004,,85 minutes,
1383,10,49,16.95,2003,PG,Animation|Comedy|Kids and Family,Walt Becker,2015,2016,"66,580,191",86 minutes,20th Century Fox
1385,5,0,100.0,2003,NR,Classics|Comedy,Bud Yorkin,1967,2004,,109 minutes,
1386,19,10,65.52,2003,G,Art House and International|Comedy|Horror,Roman Polanski,1967,2004,,107 minutes,
1387,3,21,12.5,2003,R,Drama|Mystery and Suspense,Shawn Christensen,2018,2018,,120 minutes,
1388,6,5,54.55,2003,NR,Classics|Horror|Science Fiction and Fantasy,,1953,2009,,85 minutes,
1389,1,17,5.56,2003,PG-13,Action and Adventure|Comedy,Ron Shelton,2017,2018,,,Broad Green Pictures
1390,9,5,64.29,2003,R,Art House and International|Comedy|Drama|Gay and Lesbian,Kevin Dowling|Geoff Burton,1995,2003,,99 minutes,
1391,9,0,100.0,2003,G,Drama|Mystery and Suspense,Irving Lerner,1958,2009,,81 minutes,
1392,64,11,85.33,2003,PG-13,Comedy|Drama|Romance,,1997,1998,,139 minutes,
1393,0,1,0.0,2005,R,,Fred Olen Ray,,,,84 minutes,
1394,1,38,2.56,2004,R,Comedy,,2008,2008,"6,515,869",87 minutes,Paramount Classics
1396,5,21,19.23,2003,PG-13,Drama|Musical and Performing Arts,Prince,1990,2004,,95 minutes,WARNER BROTHERS PICTURES
1398,5,14,26.32,2003,PG,Drama|Kids and Family|Faith and Spirituality,David Nixon|Patrick Doughtie,2010,2010,"1,121,000",110 minutes,Vivendi Entertainment
1399,188,26,87.85,2003,R,Drama|Horror,Trey Edward Shults,2017,2017,"13,985,117",91 minutes,A24
1400,2,5,28.57,2003,R,Drama|Mystery and Suspense,Andy Wolk,1992,2002,,105 minutes,
1402,29,10,74.36,2013,PG,Action and Adventure|Science Fiction and Fantasy,Roger Vadim,1968,1999,,98 minutes,
1403,17,12,58.62,2005,NR,Action and Adventure|Comedy|Musical and Performing Arts|Science Fiction and Fantasy|Western,Cory McAbee,2001,2005,,94 minutes,Artistic License Films
1406,9,3,75.0,2004,NR,Comedy|Romance,Rose Troche,1999,2000,,96 minutes,
1407,2,1,66.67,2004,NR,Action and Adventure|Classics|Comedy|Musical and Performing Arts,Charles Lamont,,,,70 minutes,
1409,1,0,100.0,2003,NR,Art House and International|Classics|Comedy|Drama|Romance,Luigi Comencini,1954,2009,,90 minutes,
1410,8,0,100.0,2003,NR,Documentary,Mai Iskander,,,,83 minutes,Iskander Films
1411,15,6,71.43,2003,R,Horror|Mystery and Suspense,Michael Wadleigh,1981,2002,,115 minutes,
1412,1,0,100.0,2003,NR,Classics|Comedy|Drama|Musical and Performing Arts,Lance Comfort,,,,82 minutes,
1413,1,0,100.0,2003,NR,Drama|Musical and Performing Arts,Hammudi Al-Rahmoun Font|Hammudi al-Rahmoun,,,,69 minutes,
1415,32,6,84.21,2003,NR,Action and Adventure|Art House and International|Drama|Mystery and Suspense,Kinji Fukasaku,2000,2012,,114 minutes,
1418,148,4,97.37,2003,G,Action and Adventure|Animation|Comedy|Drama|Kids and Family,Peter Lord|Nick Park,2000,2000,"106,604,314",85 minutes,
1419,3,1,75.0,2003,NR,Classics|Comedy|Kids and Family|Romance,Frank Tashlin|Jerry Lewis,1960,2004,,91 minutes,
1420,119,28,80.95,2003,R,Comedy|Drama,Miguel Arteta,2002,2003,"13,737,564",93 minutes,Fox Searchlight Pictures
1424,100,82,54.95,2003,PG-13,Action and Adventure|Horror|Kids and Family|Science Fiction and Fantasy,Andrew Stanton|Mark Atkins,2012,2012,"73,058,679",118 minutes,Walt Disney Pictures
1426,20,13,60.61,2003,R,Horror|Science Fiction and Fantasy,Vincenzo Natali,1998,2003,,90 minutes,
1428,13,6,68.42,2003,R,Comedy|Drama|Romance,Lasse Hallstrom,1990,2004,,115 minutes,
1431,31,16,65.96,2003,R,Drama,Ron Shelton,1994,2003,,128 minutes,
1435,16,57,21.92,2003,PG-13,Comedy,,2008,2008,"42,168,445",114 minutes,Universal Pictures
1439,0,1,0.0,2003,R,Action and Adventure|Drama|Mystery and Suspense,Jamaa Fanaka,1980,2000,,99 minutes,
1442,171,36,82.61,2003,PG,Kids and Family|Science Fiction and Fantasy,Chris Columbus,2002,2003,"261,835,892",161 minutes,Warner Bros. Pictures
1443,5,0,100.0,2003,NR,Classics|Horror|Mystery and Suspense,Blake Edwards,1962,2003,,123 minutes,
1445,0,2,0.0,2003,NR,Classics|Comedy|Romance,David Swift,1963,2009,,110 minutes,
1446,120,23,83.92,2003,PG-13,Comedy,Jay Roach,2000,2001,"164,454,835",108 minutes,Universal Pictures
1447,90,25,78.26,2003,R,Art House and International|Drama|Mystery and Suspense,,2011,2012,"3,185,193",117 minutes,Sony Pictures Classics
1449,16,8,66.67,2003,PG-13,Comedy|Horror|Mystery and Suspense,Lewis Teague,1985,2002,,94 minutes,
1450,20,33,37.74,2003,R,Drama|Romance,John Maybury,2008,2009,,111 minutes,Capitol Films
1451,23,90,20.35,2003,NR,Mystery and Suspense|Science Fiction and Fantasy,Julius Onah,2018,2019,,,
1453,5,5,50.0,2003,PG-13,Comedy|Romance,,1989,2009,,119 minutes,
1454,4,3,57.14,2003,R,Comedy,,,,,95 minutes,
1457,7,0,100.0,2003,NR,Classics|Drama|Science Fiction and Fantasy,Fritz Lang,1934,2004,,85 minutes,
1459,23,4,85.19,2003,NR,Documentary|Drama,Zeresenay Berhane Mehari,,,,96 minutes,Truth Aid
1460,1,0,100.0,2003,NR,Action and Adventure|Art House and International|Drama,Hark Tsui,1995,1998,,101 minutes,
1463,66,70,48.53,2003,R,Comedy,Kevin Smith,2001,2002,"29,885,424",104 minutes,Dimension Films
1464,5,7,41.67,2003,PG,Action and Adventure|Drama|Science Fiction and Fantasy,Clint Eastwood,1982,2002,,136 minutes,
1466,154,24,86.52,2003,PG-13,Drama,Richard Glatzer|Wash Westmoreland,2015,2015,,99 minutes,Sony Pictures Classics
1467,103,23,81.75,2003,R,Drama|Horror|Mystery and Suspense,,2000,2001,"7,518,962",93 minutes,Lions Gate Releasing
1471,28,4,87.5,2002,R,Classics|Comedy|Drama,Richard Linklater,1991,2004,,105 minutes,
1474,12,9,57.14,2012,R,Drama,Marc Levin,1998,1999,,103 minutes,
1475,58,63,47.93,2008,PG,Action and Adventure|Animation|Kids and Family|Science Fiction and Fantasy,David Bowers,2009,2010,"19,548,064",94 minutes,Summit Entertainment
1477,30,16,65.22,2005,G,Comedy|Kids and Family|Science Fiction and Fantasy,George Miller,1998,1999,,90 minutes,Universal Studios
1478,0,4,0.0,2005,NR,Comedy,Brian Hooks|Barry Bowles,,,,90 minutes,
1483,68,56,54.84,2002,R,Drama,Jocelyn Moorhouse,2016,2016,"2,021,399",118 minutes,
1484,29,2,93.55,2002,PG,Action and Adventure|Classics|Drama|Mystery and Suspense|Romance,Alfred Hitchcock,1940,2004,,120 minutes,
1485,2,9,18.18,2018,R,Action and Adventure|Comedy,Tom Holland,1987,2001,,104 minutes,
1486,36,4,90.0,2009,NR,Art House and International|Drama|Mystery and Suspense|Romance,Louis Malle,1958,2006,"109,257",92 minutes,
1487,17,54,23.94,2007,PG-13,Comedy|Romance,Tim Story,2014,2014,,106 minutes,Sony Pictures
1488,8,42,16.0,2004,G,Animation|Kids and Family|Science Fiction and Fantasy,Ben Stassen,2008,2008,"13,592,311",84 minutes,Summit Entertainment
1490,27,0,100.0,2003,PG-13,Art House and International|Comedy|Drama,Lasse Hallstrom,1987,1999,,105 minutes,
1492,0,4,0.0,2004,PG-13,Comedy,Michael Salomon|Mikael Salomon,2008,2008,"586,242",89 minutes,Roadside Attractions
1493,1,0,100.0,2003,NR,Western,Roger Corman,,,,82 minutes,
1494,175,32,84.54,2003,R,Drama|Mystery and Suspense,David Fincher,2011,2012,"102,515,793",157 minutes,Sony Pictures
1496,53,95,35.81,2005,PG-13,Drama|Romance,Rob Marshall,2005,2006,"57,000,000",105 minutes,Sony Pictures
1497,4,3,57.14,2004,PG,Comedy,Bilge Ebiri,2004,2005,,86 minutes,
1499,11,0,100.0,2004,NR,Documentary|Special Interest,Errol Morris,1981,2005,,56 minutes,
1501,6,22,21.43,2004,R,Classics|Drama,Tinto Brass,1979,2007,,150 minutes,
1502,8,2,80.0,2004,NR,Action and Adventure|Art House and International|Comedy,,1997,2000,,102 minutes,
1503,5,10,33.33,2004,R,Action and Adventure|Comedy|Drama,Sidney Lumet,1989,2003,,114 minutes,
1505,24,10,70.59,2005,R,Drama|Musical and Performing Arts,Iain Softley,1994,2003,,100 minutes,
1507,1,70,1.41,2009,PG,Comedy,Fred Savage,2007,2008,"13,155,823",85 minutes,Sony Pictures
1508,16,3,84.21,2009,NR,Documentary|Special Interest|Faith and Spirituality,Yoav Shamir,2009,2010,,94 minutes,First Run Features
1509,25,28,47.17,2006,R,Comedy,Michael Corrente,1999,2001,,95 minutes,Miramax
1510,0,1,0.0,2003,NR,Science Fiction and Fantasy,Philip Haas,,,,100 minutes,
1512,46,12,79.31,2002,R,Action and Adventure|Drama|Mystery and Suspense|Science Fiction and Fantasy,Paul Verhoeven,1990,2000,"119,000,000",113 minutes,
1514,18,8,69.23,2000,PG,Action and Adventure|Drama,Sylvester Stallone,1979,2005,,119 minutes,United Artists
1516,18,11,62.07,2000,R,Drama|Mystery and Suspense,Bob Rafelson|George Bud Davis,1997,2006,,98 minutes,
1517,26,105,19.85,2000,PG,Comedy|Television,Barry Levinson,2006,2007,"37,442,180",115 minutes,Universal Pictures
1518,1,0,100.0,2000,NR,Action and Adventure|Classics|Western,Henry Hathaway,1933,2005,,70 minutes,
1519,41,7,85.42,2000,PG-13,Drama,Jerry Zaks,1996,2002,,98 minutes,
1520,25,91,21.55,2000,PG-13,Drama|Musical and Performing Arts,Shana Feste,2011,2011,"20,218,921",112 minutes,
1522,40,0,100.0,2000,R,Comedy|Drama|Romance,Richard Linklater,1995,1999,,101 minutes,
1523,215,17,92.67,2000,PG-13,Comedy,Steven Soderbergh,2017,2017,"27,696,504",119 minutes,Fingerprint Releasing / Bleecker Street
1525,240,22,91.6,2005,PG-13,Action and Adventure|Mystery and Suspense,Sam Mendes,2012,2013,"299,300,000",145 minutes,MGM
1526,0,1,0.0,2005,NR,Action and Adventure|Drama,Mauritz Stiller,,,,84 minutes,
1527,19,119,13.77,2004,PG-13,Comedy,Donald Petrie,2004,2004,"14,244,145",110 minutes,20th Century Fox
1528,40,35,53.33,2004,R,Art House and International|Comedy|Romance,Dan Mazer,2013,2013,"5,851,913",97 minutes,Magnolia Pictures
1529,3,11,21.43,2004,R,Drama|Romance,James Bridges,1985,2002,,120 minutes,
1535,41,67,37.96,2012,PG-13,Action and Adventure|Drama|Mystery and Suspense,John Singleton,2003,2003,"127,083,765",108 minutes,Universal Pictures Distributio
1536,10,4,71.43,2011,R,Comedy,Tamra Davis,1993,2003,,88 minutes,
1539,7,8,46.67,2006,R,Art House and International|Comedy|Drama|Mystery and Suspense,Stephen Gyllenhaal,1998,1998,,102 minutes,
1540,4,8,33.33,2005,PG,Action and Adventure|Drama|Mystery and Suspense,Don Siegel,,,,103 minutes,
